itemID,Item,Quantity,Units,grams,Calories (kCal),Protein(g),Carbohydrates (g),fats (g),fibre,glycemic index,POTASSIUM(mg),SODIUM(mg),PHOSPHOROUS (mg),CALCIUM,IRON,Vitamin A MCG,Vitamin D,Vitamin C,Vitamin E,Vitamin K,THIAMINE Vitamin B1,RIBOFLAVIN Vitamin B2,NIACIN Vitamin B3,vitamin B12,FOLIC ACID VITAMIN B9,MAGNESIUM,ZINC,SELENIUM
179,Daal Vada,1,piece,,91,2.1,6.2,6.4,,50,100,,,,,,,,,,,,,,,,,
180,Masala Vada,1,piece,,91,2.1,6.2,6.4,,50,100,,,,,,,,,,,,,,,,,
181,Chakli,1,piece,,42,0.3,3.5,2.9,,63,50,,,,,,,,,,,,,,,,,
182,Aloo Tikki,1,piece,,92.4,1.44,11.4,4.56,,70,300,,,,,,,,,,,,,,,,,
183,Alu Tikki,1,piece,,92.4,1.44,11.4,4.56,,70,300,,,,,,,,,,,,,,,,,
184,Badam,1,piece,1.5gram,10,0.27,0.1,1,,20,200,,,,,,,,,,,,,,,,,
185,Almond,1,piece,1.5gram,10,0.27,0.1,1,,20,200,,,,,,,,,,,,,,,,,
186,Cashewnut,1,piece,1.6 gram,9,0.2,0.5,0.7,,18,70,,,,,,,,,,,,,,,,,
187,Noodles Maggie,1,plate,70gram,310,6,43,13,,75,68,,,,,,,,,,,,,,,,,
188,Marie Biscuit,1,piece,,18.5,0.25,3,0.5,,60,10,,,,,,,,,,,,,,,,,
189,Milk,1,large cup,250,150,8.75,12.5,7.5,,37,300,,,,,,,,,,,,,,,,,
190,Boost Milk,1,small cup,150ml,166,7,24,5,,70,200,,,,,,,,,,,,,,,,,
191,Banana,1,medium size,118 gram,105,1.3,27,0.4,,50,425,,,,,,,,,,,,,,,,,
192,Bun,1,slice,29gram,77,2.6,14,1,,75,20,,,,,,,,,,,,,,,,,
193,Bread,1,slice,29gram,77,2.6,14,1,,75,20,,,,,,,,,,,,,,,,,
194,Curd,1,small cup,150ml,38,1.9,0.1,2.5,,50,210,,,,,,,,,,,,,,,,,
195,Junaka,1,small cup,150ml,101,3,11,5,,64,40,,,,,,,,,,,,,,,,,
196,Pitla,1,small cup,150ml,101,3,11,5,,64,40,,,,,,,,,,,,,,,,,
197,Pithla Bakri,1,small cup,150ml,101,3,11,5,,64,40,,,,,,,,,,,,,,,,,
198,Parle Biscuit,1,piece,6.3gram,29,0.4,4.8,0.9,,70,12,,,,,,,,,,,,,,,,,
199,Apple,1,piece,182 gram,95,0.5,25,0.3,4.4,50,60,,,,,,,,,,,,,,,,,
200,Kajur,1,piece,7 gram,20,0.2,5.3,0.1,0.6,102,210,,,,,,,,,,,,,,,,,
201,Dates,1,piece,7 gram,20,0.2,5.3,0.1,0.6,102,210,,,,,,,,,,,,,,,,,
202,Ghee,1,tea spoon,5 ml,45,0.1,0.1,5,,0.1,40,,,,,,,,,,,,,,,,,
203,Chocolate,1,piece,7g,37,0.5,4.2,2.1,,40,40,,,,,,,,,,,,,,,,,
204,Chapathi 9 Inch,1,piece,9 inch,196.8,6.12,32.52,5.22,3.15,52,40,,,,,,,,,,,,,,,,,
205,Jowar Roti 9 Inch,1,piece,9 inch,124,3,25.7,1,2.25,60,40,,,,,,,,,,,,,,,,,
206,Pomegranate,1,small cup,150ml,144,3,32,2,6,51,300,,,,,,,,,,,,,,,,,
207,Rusk,1,piece,10gram,41,1.4,7,0.7,,70,40,,,,,,,,,,,,,,,,,
208,Egg,1,piece,50gram,72,6,0.4,4.8,,38,40,,,,,,,,,,,,,,,,,
209,Barfi,1,piece,,125,3,17,5.3,,11,40,,,,,,,,,,,,,,,,,
210,Samosa,1,piece,100gram,262,3.5,24,17,,60,40,,,,,,,,,,,,,,,,,
211,Chips,1,piece,,10,0.12,0.9,0.67,,76,40,,,,,,,,,,,,,,,,,
212,Egg Curry,1,large cup,,187.2,8.52,12.84,10.8,,55,40,,,,,,,,,,,,,,,,,
213,guava,1,medium size,50gram,37,1.3,7.2,0.5,,52,60,,,,,,,,,,,,,,,,,
214,Orange,1,medium size,131gram,62,1.2,15.4,0.1,,45,200,,,,,,,,,,,,,,,,,
215,Mutton Curry,1,large cup,118,272,17.5,25.32,11,,60,60,,,,,,,,,,,,,,,,,
216,Chicken Curry,1,large cup,117.5gram,285,19.6,25.6,11,,50,70,,,,,,,,,,,,,,,,,
217,Apricot,1,piece,35gram,17,0.5,4,0.1,,27,90,,,,,,,,,,,,,,,,,
218,Anjeer,1,piece,8.4,21,0.3,5.4,0.1,,32,90,,,,,,,,,,,,,,,,,
219,Fig,1,piece,8.4,21,0.3,5.4,0.1,,32,90,,,,,,,,,,,,,,,,,
220,Walnut,1,piece,4gram,26,0.6,0.6,2.6,,18,90,,,,,,,,,,,,,,,,,
221,Grapes,1,piece,4.9,3.4,0.03,0.9,0.01,,46,60,,,,,,,,,,,,,,,,,
222,Kiwi Fruit,1,piece,69 gram,42,0.8,10,0.4,,52,210,,,,,,,,,,,,,,,,,
223,Mosaru,1,small cup,56 gram,34,1.9,2.6,1.9,,18,210,,,,,,,,,,,,,,,,,
224,Curds,1,small cup,56 gram,34,1.9,2.6,1.9,,18,210,,,,,,,,,,,,,,,,,
225,Orange Juice,1,large cup,250ml,112,1.7,26,0.5,,60,235,,,,,,,,,,,,,,,,,
226,Kheer,1,large cup,250ml,263,8.3,35,11,,80,,,,,,,,,,,,,,,,,,
227,Chutney Coconut,1,cup,17gram,25.2,0.96,2.04,1.68,,36,70,,,,,,,,,,,,,,,,,
228,Chutney Nariyal,1,cup,17gram,25.2,0.96,2.04,1.68,,36,40,,,,,,,,,,,,,,,,,
229,Chutney Kobri,1,cup,17gram,25.2,0.96,2.04,1.68,,36,40,,,,,,,,,,,,,,,,,
230,Sweet Lime,1,medium size,100gram,33.6,0.12,13.2,0.12,,50,210,,,,,,,,,,,,,,,,,
231,Mosambi,1,medium size,100gram,51.6,1.2,13.2,0.12,,50,210,,,,,,,,,,,,,,,,,
232,Tawa Roti,1,piece,10cm,106,3,22,0.1,,,40,,,,,,,,,,,,,,,,,
233,Jowar Malt,1,large cup,250 ml,105,5,22,0.1,,77,40,,,,,,,,,,,,,,,,,
234,Jowar Ambli,1,large cup,250 ml,105,5,22,0.1,,77,40,,,,,,,,,,,,,,,,,
235,Pearl Millet Roti,1,piece,,123,3.3,19.1,3.8,,49,40,,,,,,,,,,,,,,,,,
236,Bajra Roti,1,piece,,123,3.3,19.1,3.8,,49,40,,,,,,,,,,,,,,,,,
237,Barley Roti/ Chapathi,1,piece,,123,3.3,19.1,3.8,,48,40,,,,,,,,,,,,,,,,,
238,Rajma Baaji,1,cup,50,72,3,12,1.2,,19,220,,,,,,,,,,,,,,,,,
239,Kidney Beans Baaji,1,cup,50,72,3,12,1.2,,19,220,,,,,,,,,,,,,,,,,
240,Chilli Bajji,1,piece,,122,1,16.7,6.4,,40,50,,,,,,,,,,,,,,,,,
241,Mirchi Baji,1,piece,,122,1,16.7,6.4,,40,50,,,,,,,,,,,,,,,,,
242,Fish Fry,1,piece,150gram,211,13,15,11,,55,300,,,,,,,,,,,,,,,,,
243,Pani Puri,1,piece,,36,0.1,4,2,,50,20,,,,,,,,,,,,,,,,,
244,Mutton Biriyani,1,plate,150gram,344.4,10.8,48,13.2,,67,70,,,,,,,,,,,,,,,,,
245,Lassi,1,large cup,250 ml,160,7,26,3,,30,100,,,,,,,,,,,,,,,,,
246,Chicken Biriyani,1,plate,150gram,354,12,48,13.2,,68,70,,,,,,,,,,,,,,,,,
247,Sandwich,1,piece,2 slice bread,155,6,28,2,,69,60,,,,,,,,,,,,,,,,,
248,Chicken Popcorn,1,piece,6.4gram,26.4,1.32,1.68,1.68,,40,40,,,,,,,,,,,,,,,,,
249,Omlet(1 egg),1,piece,1egg,130,7,5.5,8.5,,55,40,,,,,,,,,,,,,,,,,
250,Yogurt,1,small cup,120,80,6,9,2,,21,230,,,,,,,,,,,,,,,,,
251,Beef Curry,1,large cup,118,217,12.5,19,10,,60,70,,,,,,,,,,,,,,,,,
252,Fish Curry,1,large cup,117.5gram,211,14,16,10,,55,340,,,,,,,,,,,,,,,,,
253,Tea Sugarless,1,small cup,150ml,5,0.1,1,0.1,,10,20,,,,,,,,,,,,,,,,,
254,7Up,1,small bottle,250,94,0.1,23,0.1,,80,200,,,,,,,,,,,,,,,,,
255,Sprite,1,small bottle,250,120,0.1,30,0.1,,80,200,,,,,,,,,,,,,,,,,
256,rum - 180 ml,1,serving,,428,0.1,107,0.1,,90,60,,,,,,,,,,,,,,,,,
257,rum - 60ml,1,serving,,142,0.1,35.5,0.1,,90,60,,,,,,,,,,,,,,,,,
258,rum - 30 ml,1,serving,,71,0.1,18,0.1,,90,60,,,,,,,,,,,,,,,,,
259,rum - 90 ml,1,serving,,214,0.1,53.5,0.1,,90,60,,,,,,,,,,,,,,,,,
260,Vodka - 180 ml,1,serving,,384,0.1,96,0.1,,90,60,,,,,,,,,,,,,,,,,
261,Vodka - 60ml,1,serving,,128,0.1,32,0.1,,90,60,,,,,,,,,,,,,,,,,
262,vodka - 90 ml,1,serving,,192,0.1,48,0.1,,90,60,,,,,,,,,,,,,,,,,
263,Vodka - 30 ml,1,serving,,64,0.1,16,0.1,,90,60,,,,,,,,,,,,,,,,,
264,whisky - 180 ml,1,serving,,428,0.1,107,0.1,,90,60,,,,,,,,,,,,,,,,,
265,whisky - 60 ml,1,serving,,142,0.1,35.5,0.1,,90,60,,,,,,,,,,,,,,,,,
266,whisky - 30 ml,1,serving,,71,0.1,18,0.1,,90,60,,,,,,,,,,,,,,,,,
267,whisky - 90 ml,1,serving,,214,0.1,53.5,0.1,,90,60,,,,,,,,,,,,,,,,,
268,Peanuts Roasted,1,cup,20,118,4.8,4.2,10,1.6,30,126,82,,0.8,1.8,,,,,,,,,,,,,
269,Papad baked,1,piece,9,29,1.3,3.4,1.1,0.7,30,53,40,,0.9,1.9,1.4,,0.3,,,,,,,,,,
270,Papad Oil,1,piece,10,50.7,1.44,4.07,3.15,0.08,30,40,,,,,,,,,,,,,,,,,
271,Masala Papad,1,piece,28.34,126,8.76,20.4,1.08,5.3,30,284,495,,40.54,2.21,,,,,,,,,,,,,
272,French Fries,1,plate,71,222,2.4,29,10,2.7,80,411.1,149.1,,1,3,,,5,,,,,,,,,,
273,KFC popcorn chicken,1,piece,5.6,19.7,1,1.2,1.2,1,40,20,1140,,32,1.42,,,,,,,,,,,,,
274,Chicken breast,1,piece,100,165,31,85,3.6,2,40,70,74,,1,5,,,,,,,,,,,,,
275,Ham Burger,1,piece,226,540,34,40,27,0.9,60,70,414,,10,16,,,,,,,,,,,,,
276,Pizza,1,slice,107,285,12.2,35.7,10.4,2.5,70,70,640,,20,15,,,,,,,,,,,,,
277,Khus Sharbat / drink,1,tea cup,120 ml,178,1.3,42.2,2.1,1.2,90,338.9,2.5,12.6,87.8,0.3,,,,,,,,,,,,,
278,Lemon Juice / Sharbat,1,large cup,250 ml,53,0.9,17,0.6,0.7,80,251.3,2.4,,1,1,,,,,,,,,,,,,
279,Butter milk,1,large cup,245 ml,99,8,12,2.2,0.1,60,370,257.3,,28,,,,,,,,,,,,,,
280,Pudina Jeera pani,1,cup,,21,0.1,4.9,0.1,0.2,60,80,484.6,,,,,,,,,,,,,,,,
281,Lime Soda,1,large cup,184 ml,75.5,0.2,19,0.1,0.1,20,1.9,18.5,,0.3,0.2,,,,,,,,,,,,,
282,Chicken Kurma,1,bowl,79.5,251.2,8.4,26.44,13.2,0.6,20,133,128.5,,3,4.5,,,,,,,,,,,,,
283,Chicken Drumstick,1,piece,91,167,22,2,8.2,0.1,40,90,89,,0.8,5.5,,,,,,,,,,,,,
284,Grilled Chicken,1,thigh,95,235,21,6,14,0.1,40,200,318.3,,1,4,,,,,,,,,,,,,
285,Chicken Wing,1,piece,27,105.6,5.4,3.12,7.8,0.1,40,46,105,,0.4,1.7,,,,,,,,,,,,,
286,Butter Chicken gravy,1,bowl,120,253,13.8,18.4,13.8,1,40,236,125.5,,4.9,8,,,,,,,,,,,,,
287,Chilli Chicken,half,plate,107,195,10.5,15.5,10,1.4,40,236,177.5,,3,6.5,,,,,,,,,,,,,
288,Chicken Manchurian,half,plate,175,230,8,26,10.4,2.5,40,236,590,,3,12.5,,,,,,,,,,,,,
289,Chicken Kolhapuri gravy,half,bowl,,288.64,14.4,23.52,14.72,0.1,40,236,,,,,,,,,,,,,,,,,
290,Barbecue Chicken,1,piece,86,145,15,46,4.2,0.2,40,236,303,,1.2,5,,,,,,,,,,,,,
291,Chicken tikka,half,plate,126.5,194.6,19.8,11.6,7.2,1.1,40,236,134,,4.2,5.5,,,,,,,,,,,,,
292,Pepper chicken,half,plate,100.5,168.6,13.8,12.6,7.2,1.1,40,182,377,,1.4,4.2,,,,,,,,,,,,,
293,Chicken cutlet,1,piece,127,162.6,8.6,19.6,5.04,0.8,40,273,189,,3.8,11,,,,,,,,,,,,,
294,Chicken fried Rice,1,plate,179,368,19,45,12,0.9,40,236,354,,3,6.7,,,,,,,,,,,,,
295,Chicken Nuggets,1,piece,19,49,2.5,2.4,3.3,0.1,40,40,95,,0.1,0.1,,,,,,,,,,,,,
296,Lamb Meat ball / keema,1,piece,25,93,4.9,6.5,5.2,0.1,40,72,149,,1,3,,,,,,,,,,,,,
297,Lamb Meat curry,half,bowl,125.8,255,12,20,14,0.8,40,225.3,38,,1.7,8.3,,,,,,,,,,,,,
298,Tomato Soup,1,large cup,250,108,2.4,21.6,1.2,1.3,40,400,910,,4,8,,,,,,,,,,,,,
299,Tomato Shorba,1,large cup,250,90,2,18,1,1.3,40,400,910,,4,8,,,,,,,,,,,,,
300,Chicken Soup with noodles,1,large cup,250,207,7.68,26.8,14,1,40,109,1731,,2.3,18,,,,,,,,,,,,,
301,Mix Vegetable Soup,1,large cup,250,104,3.9,16.9,2.6,3.4,40,160,1219,,3.3,11,,,,,,,,,,,,,
302,Sweet corn soup,1,large cup,250,122,2.9,24,3.3,2.5,40,120,705,,2,4,,,,,,,,,,,,,
303,Hot n Sour Soup,1,large cup,250,104,6.5,11.7,3.25,0.5,40,55,376,,1,3,,,1.3,,,,,,,,,,
304,Gujarathi kadhi,1,large cup,250,161,5.5,16.1,1.9,6.7,40,150,21.8,128,147,0.8,,,,,,,,,,,,,
305,Khakhra,1,piece,,54,1.4,7.9,2,1.4,60,35.7,2.2,40.4,8.4,0.6,,,,,,,,,,,,,
306,Pudding,1,small cup,100,120,3.2,20,3.2,0.8,80,150,98,,10,1,,,,,,,,,,,,,
307,Bread Pudding,1,small cup,100,188.5,3.9,36,3.6,0.7,80,189.5,95,,8,3.5,,,,,,,,,,,,,
308,Pumpkin Bread Pudding,1,small cup,100,210,33,33,6,0.1,80,100,55,,,,,,,,,,,,,,,,
309,Rabdi,1,small cup,120,256,8,39,8,0.1,80,60,95,650,1050,1,,,,,,,,,,,,,
310,Malpua,1,piece,,123,0.8,21.1,3.9,0.1,80,18,4.8,5.4,9.8,0.1,,,,,,,,,,,,,
311,Kokam sharbat,1,small cup,100 ml,74,0.2,18.5,0.2,,60,,,,,,,,,,,,,,,,,,
312,Milk shake,1,large cup,250 ml,351,6,50,9.5,,60,573,95,,14,1,,,,,,,,,,,,,
313,Banana Milk shake,1,large cup,250 ml,301,6.8,50.1,9,2.3,60,573,65.4,175.6,231.5,0.7,,,,,,,,,,,,,
314,Peanut butter,1,tbsp (table spoon),16,94,3.5,3.9,8,0.1,30,60,17,,4,10,,,,,,,,,,,,,
315,Chocolate milk shake,1,large cup,250,371,8.2,51,17,0.1,60,494,153,,25,9,,,,,,,,,,,,,
316,Dry fruits milk shake,1,large cup,250,360,8,48,18,2,60,206.4,16.3,170,199.4,1,,,,,,,,,,,,,
317,Macaroni pasta,1,bowl,100,371,13,75,1.5,3.2,55,223,6,,2,7,,,,,,,,,,,,,
318,Bengali Coconut daal,1,cup,100,117,5,13,5,5.4,50,200,600,,,,,,,,,,,,,,,,
319,daal makhani,1,cup,100,128,4,10,8,10,55,210,372,,8,26,,,,,,,,,,,,,
320,Shengha holige,1,piece,40,182,4.06,26.02,7.39,1.88,80,70,,,,,,,,,,,,,,,,,
321,Kayi holige,1,piece,,158,4.06,20,7.39,2,80,60,40,,2,1,,,,,,,,,,,,,
322,Naariyal poran poli,1,piece,,158,4.06,20,7.39,3,80,128,9,,8,2,,,,,,,,,,,,,
323,Chicken kathi Roll,1,roll,,170,8,21,6,1.6,45,150,59,,,,,,,,,,,,,,,,
324,Fried Chicken + Egg Roll,1,roll,80,185,8,18,9,1.9,45,225,382,,2.9,7.5,,,,,,,,,,,,,
325,Chicken spring roll,1,roll,57,181,8,17,9,0.9,45,108,311,,1.1,5.3,,,,,,,,,,,,,
326,Matar Paneer kathi roll,1,roll,200,182,7,25,6,3,45,,880,,15,25,,,,,,,,,,,,,
327,Paneer Tikka roll,1,roll,170,210,5.5,24,10,1.5,45,160,370,,78,3,,,,,,,,,,,,,
328,Vegetable kathi roll,1,roll,200,150,4,20,6,3,45,70,760,,8,25,,,,,,,,,,,,,
329,Bacon & Mashroom roll,1,piece,35,182,7,25,6,0.2,,79,206,,2,4,,,,,,,,,,,,,
330,Rasmalai,1,piece,50,144,5.85,20,4.55,1,80,,15,,17.5,1,,,,,,,,,,,,,
331,Rasgulla,1,piece,131,122,1,25,2,1.8,80,74,26,,4.9,0.2,,,,,,,,,,,,,
332,Rice Kheer with Jaggery,1,large cup,150,302,4,49,10,1.35,80,70,,,,,,,,,,,,,,,,,
333,Chum Chum,1,piece,15,93,0.5,16,3,0.01,80,60,,,,,,,,,,,,,,,,,
334,Eachor Kosha,1,cup,,115,2,20,3,1,40,70,80.1,93.6,26.8,1.2,,,,,,,,,,,,,
335,Jackfruit curry (Eachor Kosha),1,cup,,115,2,20,3,1,40,70,80.1,93.6,26.8,1.2,,,,,,,,,,,,,
336,Boriya Diya Palang Saag (palak gravy),1,cup,,103,5.6,13.3,3.4,2,45,326.8,25.7,,43.7,1.7,,,,,,,,,,,,,
337,Bati chorchori,1,cup,,75.6,4.2,109.2,6.36,1.4,40,70,17,122,30.2,1,,,,,,,,,,,,,
338,Papaya Tarkari,1,cup,,72,0.96,9.96,1.44,2.6,,100.9,8.8,,27.2,0.6,,,,,,,,,,,,,
339,"Sojana Data Posto (dry drumstick , poppy seed sabzi)",1,cup,,61.9,2.3,4.8,4.8,2.6,40,164.5,0.4,,22.7,0.2,,,,,,,,,,,,,
340,Mulor Ghanto,1,cup,,77,1.1,12.3,4.6,2.6,40,138,23.4,,28.7,0.7,,,1.2,,,,,,,,,,
341,Bengali Matarsutir Dal,1,cup,,88,5.1,11.3,6.1,2.6,40,61.4,5.6,97.9,14.4,1.1,,,,,,,,,,,,,
342,Khalo dal,1,cup,,118,7,18.7,3.5,1.7,40,247,11.9,,51.2,4.1,,,,,,,,,,,,,
343,Dhabey ki dal,1,cup,,130,6,18,4.3,2,40,70,18.1,139.6,73.1,1.8,,,,,,,,,,,,,
344,Mooli makai ki roti,1,piece,,126,1.1,12.3,1.4,3,40,61.8,3.8,,4.2,0.1,,,,,,,,,,,,,
345,Chawli leaves Parota,1,piece,,104.4,3.48,18.12,3.48,2,40,70,35.2,77.5,63.4,1.4,,,,,,,,,,,,,
346,Dabeli,1,piece,,147,3,12,3,0.1,80,70,58,49.8,22.6,1.4,,,,,,,,,,,,,
347,Gujarathi Patra,1,piece,,111,1,20,3,1,75,60,76.8,407.4,235.9,12.7,,,,,,,,,,,,,
348,Bhakarwadi Mini,1,cup,,121,3,16,2,5,70,108,27.1,,204.9,4.3,,,,,,,,,,,,,
349,Fulwadi / Phoolwadi snack,1,piece,,48.96,1.152,3.744,3.168,0.6,70,28.2,2.9,13.4,3.3,0.2,,,,,,,,,,,,,
350,Vaal Ni Dal (Masala Chawli / Khatti Meethi dal),1,cup,,115,4,18,3,8.3,65,100,17.4,414,58.9,2.7,,,,,,,,,,,,,
351,Dapka Kadhi,1,cup,,131,4,22,3,7.9,70,70,34,118.1,96.5,2.9,,,,,,,,,,,,,
352,Fajeta,1,cup,,134,3,11.3,0.7,7.3,50,60,15.8,81.4,112.6,0.6,,,,,,,,,,,,,
353,methi Muthia steamed,1,piece,,110,1,18,2,7.2,60,70,55.4,90.7,147.4,3.2,,,,,,,,,,,,,
